Date : 2026-04-26 21:46:40
Directory : c:\Users\ignas\Training_Plans
Total : 396 files,  196097 codes, 1628 comments, 9326 blanks, all 207051 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| HTML               |        137 |    123,605 |          0 |      2,061 |    125,666 |
| TypeScript JSX     |         76 |     28,218 |        479 |      2,064 |     30,761 |
| Python             |         78 |     20,954 |        881 |      3,964 |     25,799 |
| JSON               |         10 |     13,800 |          0 |         10 |     13,810 |
| TypeScript         |         42 |      5,717 |        115 |        621 |      6,453 |
| PlantUML           |         17 |      1,633 |         44 |        233 |      1,910 |
| JavaScript         |          9 |        571 |         61 |         84 |        716 |
| PostCSS            |          5 |        520 |         43 |         51 |        614 |
| Markdown           |          4 |        420 |          0 |        132 |        552 |
| YAML               |          4 |        317 |          2 |         18 |        337 |
| PowerShell         |          3 |        100 |          0 |         29 |        129 |
| Properties         |          2 |         73 |          1 |         15 |         89 |
| Shell Script       |          2 |         70 |          2 |         22 |         94 |
| Docker             |          3 |         31 |          0 |         19 |         50 |
| pip requirements   |          1 |         21 |          0 |          1 |         22 |
| Ignore             |          1 |         20 |          0 |          0 |         20 |
| JSON with Comments |          1 |         19 |          0 |          1 |         20 |
| XML                |          1 |          8 |          0 |          1 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        396 |    196,097 |      1,628 |      9,326 |    207,051 |
| . (Files)                                                                                                         |         10 |      1,094 |          0 |        141 |      1,235 |
| .claude                                                                                                           |          1 |          8 |          0 |          1 |          9 |
| .github                                                                                                           |          1 |         54 |          0 |         11 |         65 |
| backend                                                                                                           |         80 |     20,987 |        881 |      3,972 |     25,840 |
| backend (Files)                                                                                                   |          2 |         33 |          0 |          8 |         41 |
| backend\app                                                                                                       |         78 |     20,954 |        881 |      3,964 |     25,799 |
| backend\app (Files)                                                                                               |         25 |      3,863 |        222 |        842 |      4,927 |
| backend\app\integrations                                                                                          |         15 |      1,290 |         14 |        237 |      1,541 |
| backend\app\integrations (Files)                                                                                  |          6 |        469 |         10 |         84 |        563 |
| backend\app\integrations\connectors                                                                               |          9 |        821 |          4 |        153 |        978 |
